text,source_label
"The United States Geological Survey, a U.S. government agency responsible for analyzing geological activity, recently announced that it's using Twitter to help monitor earthquakes. The initiative is an innovative way to collect real-time information and improve understanding and response to these devastating natural phenomena. The project, called Twitter Earthquake Dispatch, was developed in 2009 as a way to explore the potential of the social media platform to provide up-to-date information about earthquakes around the world. Today, over 500 million people use Twitter, making it a rich source of real-time data and information. TED uses sophisticated algorithms to filter and analyze real-time tweets that contain earthquake-specific keywords like ""terrestrial,"" ""earthquake,"" and ""seismic."" Analysis of these tweets allows the USGS to quickly identify the location, intensity and time of the tweets. ",machine_translated
"* 2018On the 28th of July 2018, the Copenhagen trial happened in Denmark, where Gary Hunt was downgraded for a hardware failure. On August 12th, Sisikon's proof in Sweden where Gary Hunt beats again and solidifies leadership with a margin of 750 points. On August 19th at the Polignano a Mare trial in Italy, Gary Hunt beat the trial, and he gets a big advantage over second-placed and long-time rival Steven LoBue. On September 16th, Gary Hunt wins again in Mostar, Bosnia, with 750 points to go, guaranteeing the 2018 title with two more proofs to go. On October 5th, on the St. Michael's Day Proving Ground, he wins again with 180.6 points. With this win, Gary Hunt breaks yet another record, 33 wins, in the Red Bull Cliff Diving World Series. On October 22nd, Gary Hunt wins again, the fourth proof in 2018 at the Cascade City in Brazil.",machine_translated
"After a couple of days of high-profile talks with U.S. President Donald Trump, Chinese President Xi Jinping made a refueling stop in Alaska Friday night, using the time to meet with Alaska’s governor.Alaska Governor Bill Walker welcomed Xi to Alaska in the state’s largest city, Anchorage. The two went on a brief sightseeing tour and spoke about Alaska’s trade ties with China.``We have tremendous potential in our oil and gas, tourism, fish, air cargo and mineral resource industries,'' Walker said in a statement issued before the meeting.Xi requested the meeting with Walker, who used the time to tout Alaska’s abundant natural resources and advocate for a gas pipeline that would facilitate export to China.China bought nearly $1.2 billion worth of Alaskan goods in 2016, according to numbers from the U.S.",human
"Iraq's president Jalal Talabani, touting security gains in that country, has appealed to nations around the world to open diplomatic missions in Baghdad and drop sanctions left over from the Saddam Hussein era. The Iraqi leader was among speakers Thursday in the U.N. General Assembly's general debate. VOA's David Gollust reports from our U.N. bureau.The Iraqi president says his government still has a long road ahead in its efforts to restore full peace to the country. But in his U.N. speech, he highlighted incremental successes by Iraqi security forces in Baghdad, Basra, Mosul, and Diyala provinces, and said the government aims to take over security responsibilities for the entire country from U.S.-led multi-national troops by the end of this year.Accordingly, Mr. Talabani appealed to the world community to recognize the security gains by reopening or establishing diplomatic missions in Baghdad and by increasing the level of representation at the handful of foreign missions already functioning there.Citing the Baghdad government's commitment to democratic rule and non-interference in neighboring countries, Mr. Talabani urged U.N. members to lift leftover sanctions from the Saddam Hussein era under Chapter Seven of the U.N. charter, and drop or ease compensation claims stemming from actions of the former dictator.""Iraq no longer threatens international peace and security,"" he said. ""And therefore we call on the international community to adopt measures so that Iraq will no longer be subject to Chapter Seven of the Charter of the United Nations.",human
"India's parliament broke down in chaos Thursday after a lawmaker released pepper spray before a controversial vote. Lawmakers were to vote on whether to make the Telangana region of Andhra Pradesh into a separate state. Andhra Pradesh state is the Indian home of technology companies such as Google and Microsoft, which are based in the city of Hyderabad. Lawmaker L. Rajagopal is accused of deploying the pepper spray before the vote was to take place. News reports say the session then broke down as a scuffle broke out.",human
"At least three people have been killed as Cyclone Fani, one of the strongest storms to ever hit the eastern coast of India, made landfall in the state of Odisha on Friday.The cyclone was classified as a ""very severe cyclonic storm"" by the India Meteorological Department (IMD). According to the IMD, Fani had a wind speed of up to 177 kilometers per hour (110 mph).Fani made landfall around 8 a.m. local time in Puri, a city in Odisha. The storm was expected to affect up to 10 million people in India and Bangladesh.Authorities said they evacuated more than a million people from coastal areas of Odisha, Andhra Pradesh and West Bengal in an attempt to minimize casualties.“We are prepared with all essential commodities, relief and rescue materials to face this situation and mitigate the sufferings of people,"" said Odisha’s Special Relief Commissioner Bishnupada Sethi in a statement.Early reports suggest that power supply and telecommunications services have been disrupted in the region, while the airport in Bhubaneswar, the capital of Odisha, has also been shut down.The Indian government has deployed teams of the National Disaster Response Force to help with relief and rescue operations in affected areas. It is unclear how long it will take for the region to recover from the devastating impact of Cyclone Fani.",ai_generated
"Finland stole the scene in the most recent edition of Top Marques, one of the most important luxury car salons in the world, held in Monaco in April. The Finnish company Toroidion unveiled its 1MW Concept, a fully designed and built supercar in the Nordic country. The name of the model refers to the power of one megawatt — equivalent to 1,360 horsepower — and makes the Toroidion the first electric car to overcome a barrier that only a few petrol vehicles have crossed. In an electric car, that's more a matter of mathematics than supersonic engines.",machine_translated
"Islamabad, Sep 23 (PTI) Pakistan closed its land border with Afghanistan to stop the spread of coronavirus.It decided this after an Afghan delegation visited the border for a meeting on Friday.Also Read | India-Nepal Border: Nearly 30 Tipped to Be Displaced in Bihar’s Auraiya District, Says IFS Officer Subhash Gupta.In a statement, the Foreign Office said, ""The meeting was held to review the impact of the novel coronavirus on bilateral relations and the implementation of the bilateral agreement on the movement of people and goods.""""The meeting was attended by Ambassador of Afghanistan to Pakistan, Dr. Mujibullah, Afghan Ambassador to Pakistan, Mr Abas Rahman, the Pakistan delegation and senior government officials,"" it said.Also Read | India-Nepal Border: Nearly 30 Tipped to Be Displaced in Bihar’s Auraiya District, Says IFS Officer Subhash Gupta.During the meeting, both sides expressed satisfaction over the measures being taken to address their mutual concerns. The sides agreed to jointly formulate and implement a comprehensive plan to address challenges being faced by both countries.Both sides reaffirmed that both countries had the common interest to improve their strategic ties through further enhanced trade and investment. They noted that they should exercise restraint in the situation.Earlier, on Thursday, Afghan Ambassador to Pakistan Mohammad Hamdullah Khan had visited the Pakistan-Afghanistan border for a meeting with officials of both the countries.It may be recalled that the Afghan side had earlier sought an ""exchange of views"" on the issues of mutual interests including security situation in Afghanistan, border situation, terrorism, border issues and the need for enhanced economic cooperation between the two countries.Earlier this month, the Afghan President, Ashraf Ghani had reached the Pak-Afghan border for a meeting with officials of the two countries.(",ai_generated
"Earlier this morning, heavy rain caused a road crash between Mirador de Santa Iria and Porto Formoso, on the island of São Miguel, in the Azores. The wreckage, which occurred around 2 a.m., resulted in the road being blocked, forcing motorists to search for alternative lanes to move between the localities. According to the local authorities, no injuries or disappearances were reported as of the incident. However, the amount of land and stones that fell on the road is significant, and the emergency services are working intensively to clear the road. Civil Protection and the Regional Civil Protection and Fire Services of the Azores (SRPCBA) are on site and monitoring the situation closely. The authorities are asking the population to avoid the affected area and follow the directions given, as there is still a risk of further demolitions. The president of the Ribeira Grande Municipality, Alexandre Gaudencio, said in an interview that the teams responsible are working in a way",machine_translated
"Talks on North Korea's nuclear programs hit a snag in Beijing, with North Korean negotiators refusing to attend a meeting of the heads of delegation. Diplomats say the North Koreans are demanding they first get back money that was frozen in a Macau bank. As VOA's Luis Ramirez reports from Beijing, the United States says that, despite the snag, talks remain on track.The dispute over the nearly $25 million frozen by U.S. actions in a Macau bank has long been a stumbling block to the nuclear talks.Negotiators, however, had hoped that a recent agreement clearing the way for the release of that money would allow them to move on to the far more important issue of denuclearization.But Pyongyang says an agreement is not enough. It wants the cash in its hands before it continues with the six-nation talks.The issue of the funds resurfaced on Tuesday, slowing down what is supposed to be a meeting to set a timetable for the dismantling of North Korea's nuclear programs.Nori Shikata, a spokesman for the Japanese delegation, told VOA the Chinese hosts say North Korea is not talking until the money from Banco Delta Asia, or BDA, shows up in Pyongyang's bank account.""",human
